Account Name,Priority Tier,Employees,ChatGPT Seats Entitled (Enterprise),ChatGPT Free Users on Account,ChatGPT Team Users on Account,ChatGPT Seats Activated (Enterprise),ChatGPT Seats Activated as % of Purchase,WAU as % of Activated (Enterprise),ChatGPT MAU,ChatGPT MAU M-1,ChatGPT MAU Growth (%),ChatGPT WAU,ChatGPT WAU Growth (%),ChatGPT ARR (Total),API Revenue M-0 Projected (Sales Owned),API Revenue M-1 (Sales Owned),"API Revenue MoM Change (Sales Owned, %)",API All Time Revenue,API ARR (Total),# Closed-Lost Opportunities,Company Summary,Est. knowledge workers,Estimated Engineer count,Propensity Tier,Website
Gentex Corporation,,6184,0,133,2,0,#ERROR!,,32,34,-6,21,-16,1680,0,0,0,0,0,1,"Automotive and aerospace technology manufacturer known for connected-car electronics, dimmable glass and fire-protection products; brands include HomeLink and VOXX-related vehicle integrations.",1484,680,Tier 2,https://www.gentex.com/
Lionbridge Technologies,P2,6000,0,657,0,0,#ERROR!,,139,119,17,101,1,960,0,0,0,0,0,1,"Global localization, AI data and translation-services company; core brands include Lionbridge Language Cloud and Lionbridge AI.",4320,540,Top 15,https://www.lionbridge.com/
Nuance Communications,P1,6500,0,369,1,0,#ERROR!,,30,29,3,25,14,1458,0,0,0,34,1,0,"Speech AI and clinical-documentation software company owned by Microsoft; brands include Dragon, PowerScribe and DAX.",5070,1430,Top 15,https://www.nuance.com/
Shaw Communications,,9500,,38408,26,,#ERROR!,,15224,14551,5,10628,3,411600,,,0,,,0,Canadian telecom and broadband operator acquired by Rogers; Shaw consumer services now sit alongside Rogers and Freedom Mobile brands.,4560,1140,Top 15,https://www.shaw.ca/
Mercer LLC,P2,4325,0,1549,46,0,#ERROR!,,232,197,18,174,10,30197,0,0,0,154,122,0,"HR, benefits, wealth and consulting firm within Marsh McLennan; associated group brands include Mercer, Marsh, Guy Carpenter and Oliver Wyman.",3460,303,Top 15,https://www.mercer.com/
"John Wiley & Sons, Inc.",,6400,0,915,18,0,#ERROR!,,192,202,-5,140,-4,8760,0,0,0,3144,901,2,"Academic publishing, research and professional-learning company; brands include Wiley, Hindawi and Wiley Online Library.",4864,512,Top 15,https://www.wiley.com/
New York Times,,5900,0,964,1,0,#ERROR!,,191,176,9,121,-8,5053,7280,6607,-37,161492,93697,2,"News, media and subscription products company behind The New York Times, Wirecutter, The Athletic and NYT Games.",4366,649,Top 15,https://www.nytco.com/
"AES Big Sky, L.L.C.",,9100,0,610,1,0,#ERROR!,,159,140,14,112,-2,7679,0,0,0,9,0,2,"Power-generation and renewables operating entity within The AES Corporation, which develops utility, storage and energy-infrastructure assets.",3094,1092,Tier 2,https://www.aes.com/
UNICEF,,17000,0,1213,6,0,#ERROR!,,360,364,-1,266,-4,14869,0,0,0,267,2,0,"UN agency focused on children's health, education and humanitarian response; operates through UNICEF national committees and country offices.",10540,850,Top 15,https://www.unicef.org/
Amp Agency,P1,630,0,136,26,0,#ERROR!,,33,28,18,15,0,11400,0,0,0,206,0,2,"Digital marketing and creative agency serving brand clients across media, commerce and experience design; operates as AMP Agency.",517,44,Top 15,https://www.ampagency.com/
SGK,,6800,0,307,2,0,#ERROR!,,92,99,-7,72,3,5237,0,0,0,17,0,1,"Packaging, brand experience and content-production business within Matthews International; SGK works alongside Matthews Memorialization and Industrial Automation.",4488,408,Tier 2,https://www.sgkinc.com/
BL Harbert,,10000,0,92,0,0,#ERROR!,,37,38,-3,27,-10,240,0,0,0,,0,1,"General contractor focused on large commercial, federal and international construction programs; operates under BL Harbert International.",2500,700,Tier 3,https://www.blharbert.com/
Cornerstone Building Brands,,18800,0,451,32,0,#ERROR!,,169,163,4,126,5,14040,0,0,0,1,0,0,"Exterior building-products manufacturer serving residential and commercial construction; brands include Ply Gem, MBCI and Metallic Building Systems.",4324,1504,Tier 2,https://www.cornerstonebuildingbrands.com/
Packaging Corp of America,,15400,0,108,0,0,#ERROR!,,23,22,5,15,-17,1440,,,0,,,0,Containerboard and corrugated-packaging manufacturer operating mills and box plants across North America under the PCA brand.,2772,924,Tier 3,https://www.packagingcorp.com/
American Water Works,,6700,0,48,0,0,#ERROR!,,8,7,14,5,0,4800,0,0,0,,0,0,Water and wastewater utility operator serving regulated and military systems; key brands include American Water and American Water Military Services Group.,2077,603,Tier 3,https://www.amwater.com/
Hydro One,,10100,0,206,0,0,#ERROR!,,22,19,16,14,-22,459,0,0,0,,0,0,Ontario electricity transmission and distribution utility serving residential and industrial customers through Hydro One networks.,3030,909,Tier 2,https://www.hydroone.com/
NVR,,7000,0,43,0,0,#ERROR!,,16,11,45,10,-9,960,,,0,,,0,"Homebuilder and mortgage company focused on U.S. residential communities; brands include Ryan Homes, NVHomes and Heartland Homes.",1400,350,Tier 3,https://www.nvrinc.com/
Snap-on,,13000,0,423,14,0,#ERROR!,,171,159,8,114,-10,12849,0,0,0,125,0,0,"Tools, diagnostics and repair-information manufacturer for professional technicians; brands include Snap-on, Mitchell 1 and Norbar.",3120,1040,Tier 2,https://www.snapon.com/
Hubbell,,17700,0,116,0,0,#ERROR!,,21,18,17,13,-7,960,0,0,0,,0,0,Electrical and utility infrastructure manufacturer; portfolio spans Hubbell Utility Solutions and Hubbell Electrical Solutions brands.,4071,1593,Tier 2,https://www.hubbell.com/
Asbury Automotive Group,,15000,0,83,3,0,#ERROR!,,21,24,-13,15,25,2952,0,0,0,26980,17176,0,"Auto retail and service group operating dealerships and digital retailing assets; brands include Asbury, Clicklane and Total Care Auto.",3300,600,Tier 3,https://www.asburyauto.com/
Consolidated Edison,,15097,0,85,0,0,#ERROR!,,7,6,17,5,0,960,0,0,0,0,0,0,"Regulated electric, gas and steam utility serving New York-area customers through Con Edison and Orange & Rockland.",4680,1510,Tier 2,https://www.conedison.com/
FirstService Residential,P1,514,0,1492,28,0,#ERROR!,,476,471,1,396,5,29279,0,0,0,,0,0,Property-management company for residential communities within FirstService Corporation; sister brands include FirstService Brands and Century Fire.,185,15,Tier 2,https://www.fsresidential.com/
Total Quality Logistics,,9000,0,2071,1,0,#ERROR!,,332,333,0,223,1,8159,0,0,0,0,0,1,Third-party logistics and freight brokerage company operating under the TQL brand across truckload and supply-chain services.,3420,360,Tier 2,https://www.tql.com/
Diversey,,9000,0,1437,11,0,#ERROR!,,354,316,12,257,5,9697,0,0,0,2,0,0,"Cleaning, hygiene and infection-prevention products company now part of Solenis; brands include TASKI, Suma and Oxivir.",3060,630,Tier 2,https://diversey.com/
Altice USA,P2,10900,0,627,25,0,#ERROR!,,184,169,9,135,5,11280,0,0,0,13,0,1,"Cable, broadband and mobile operator behind the Optimum brand; formerly also operated Suddenlink in the U.S. market.",5014,1308,Top 15,https://www.alticeusa.com/
Univar Solutions Inc.,,10000,0,60,0,0,#ERROR!,,17,15,13,12,0,240,0,0,0,,0,0,Global chemicals and ingredients distributor serving industrial and life-sciences customers under the Univar Solutions brand.,3000,600,Tier 3,https://www.univarsolutions.com/
Spartannash Company,,19000,0,21,0,0,#ERROR!,,4,2,100,2,-50,0,0,0,0,0,0,0,"Food wholesale distribution and grocery retailer; retail banners include Family Fare, Martin's Super Markets and D&W Fresh Market.",3610,570,Tier 3,https://www.spartannash.com/
Pactiv Evergreen Inc.,,15000,0,105,0,0,#ERROR!,,26,26,0,21,11,701,0,0,0,,0,0,"Foodservice packaging and beverage-carton manufacturer; brands include Pactiv, Evergreen, Fabri-Kal and EarthChoice.",2700,900,Tier 3,https://pactivevergreen.com/
The Parsons Corporation,,10300,0,726,5,0,#ERROR!,,199,195,2,143,0,5730,0,0,0,5,0,1,"Engineering, defense, cyber and infrastructure contractor serving governments and critical-infrastructure clients under Parsons.",7004,2060,Top 15,https://www.parsons.com/
Moog Inc.,,13500,0,155,1,0,#ERROR!,,39,39,0,24,9,240,0,0,0,,0,0,"Motion-control and precision-components manufacturer serving aerospace, defense and industrial markets under the Moog brand.",3780,1755,Tier 2,https://www.moog.com/
West Fraser Mills Ltd,,6800,0,165,0,0,#ERROR!,,36,37,-3,24,9,480,0,0,0,,0,0,Wood-products and lumber producer with mills across North America and Europe; brands include West Fraser and Norbord legacy panels.,952,272,Tier 3,https://www.westfraser.com/
Curtiss-Wright Corporation,,8800,0,32,0,0,#ERROR!,,13,12,8,12,20,240,0,0,0,,0,0,"Defense, aerospace and industrial engineering company; portfolio includes Curtiss-Wright Defense Solutions and industrial control businesses.",2640,1232,Tier 2,https://www.curtisswright.com/
"Rev Group, Inc.",,5700,0,65,2,0,#ERROR!,,26,22,18,23,0,1800,0,0,0,,0,0,"Specialty vehicle manufacturer for fire, emergency, commercial and recreation markets; brands include E-ONE, Collins, Fleetwood RV and Blue Arc.",1026,342,Tier 3,https://www.revgroup.com/
Wabash National Corporation,,6000,0,128,1,0,#ERROR!,,52,41,27,35,0,1200,0,0,0,,0,0,"Transportation-equipment manufacturer building trailers, truck bodies and logistics solutions under Wabash and Trailers as a Service.",1200,480,Tier 3,https://www.wabash.com/
"Franklin Electric Co., Inc.",,6400,0,3,0,0,#ERROR!,,0,0,,0,,0,,,0,,,0,"Water and fueling systems manufacturer; brands include Franklin Electric, Little Giant, FPS and Fueling Systems.",1536,576,Tier 3,https://www.franklinwater.com/
Chicago Transit Authority Inc.,,9939,0,50,0,0,#ERROR!,,20,19,5,15,15,0,,,0,,,0,Public transit agency operating Chicago's rail and bus network under the CTA system brand.,2982,696,Tier 3,https://www.transitchicago.com/
"White Cap, L.P.",,10500,0,43,0,0,#ERROR!,,18,14,29,12,0,701,,,0,,,0,Specialty distributor of construction and industrial supplies serving contractors nationwide under the White Cap brand.,2100,315,Tier 3,https://www.whitecap.com/
Sun Chemical Corporation,,11000,0,142,0,0,#ERROR!,,23,23,0,18,38,513,0,0,0,0,0,0,"Printing inks, pigments and materials-science company owned by DIC Corporation; brands include Sun Chemical and SunJet.",2640,880,Tier 3,https://www.sunchemical.com/
Sp Plus Corporation,,19900,0,247,0,0,#ERROR!,,8,4,100,5,-17,240,0,0,0,,0,0,"Parking, mobility and facility-services operator; brands include SP+, Metropolis integrations and Sphere commerce solutions.",5572,995,Tier 2,https://www.spplus.com/
